Designator,Mid X,Mid Y,Rotation,Layer
C1,13.18,28.46,270.0,top
J1,2.72,17.6,0.0,top
J2,55.195,18.135,0.0,top
R1,13.29,17.72,270.0,top
SW1,43.89,9.63,90.0,top
SW2,27.89,9.63,90.0,top
SW3,27.89,25.63,90.0,top
SW4,43.89,25.63,90.0,top
